rank,gid,role,priority_score,why
1,100000003684369100,coordinator,0.983536,"Вклад в приоритет: денежный объём +20.0 п.п.; входящая значимость +19.7 п.п.; охват seed +19.7 п.п.. Seed-предков 6; объём max(вход,выход) 8,588,655 KZT. Seed-предков 6≥2; входящих 24≥3; исходящих 62≥2; ранг посредничества 95.1%≥90%. Seed: вход неполный."
2,100000008603629100,coordinator,0.970731,"Вклад в приоритет: денежный объём +19.9 п.п.; посредничество +19.5 п.п.; входящая значимость +19.3 п.п.. Seed-предков 4; объём max(вход,выход) 4,986,156 KZT. Seed-предков 4≥2; входящих 19≥3; исходящих 61≥2; ранг посредничества 97.4%≥90%."
3,100000000331309100,coordinator,0.963978,"Вклад в приоритет: денежный объём +20.0 п.п.; посредничество +19.3 п.п.; входящая значимость +18.8 п.п.. Seed-предков 4; объём max(вход,выход) 23,001,375 KZT. Seed-предков 4≥2; входящих 5≥3; исходящих 99≥2; ранг посредничества 96.6%≥90%."
4,100000000437046100,coordinator,0.959371,"Вклад в приоритет: денежный объём +20.0 п.п.; посредничество +19.1 п.п.; входящая значимость +18.5 п.п.. Seed-предков 4; объём max(вход,выход) 7,606,224 KZT. Seed-предков 4≥2; входящих 9≥3; исходящих 42≥2; ранг посредничества 95.5%≥90%."
5,100000008346837100,coordinator,0.951798,"Вклад в приоритет: посредничество +20.0 п.п.; охват seed +19.7 п.п.; денежный объём +19.0 п.п.. Seed-предков 6; объём max(вход,выход) 1,258,643 KZT. Seed-предков 6≥2; входящих 9≥3; исходящих 25≥2; ранг посредничества 100.0%≥90%."
6,100000000343175100,coordinator,0.950762,"Вклад в приоритет: денежный объём +19.8 п.п.; посредничество +18.7 п.п.; охват seed +18.5 п.п.. Seed-предков 4; объём max(вход,выход) 4,000,039 KZT. Seed-предков 4≥2; входящих 8≥3; исходящих 31≥2; ранг посредничества 93.7%≥90%. Seed: вход неполный."
7,100000003016635100,coordinator,0.950231,"Вклад в приоритет: денежный объём +20.0 п.п.; посредничество +19.6 п.п.; входящая значимость +19.2 п.п.. Seed-предков 3; объём max(вход,выход) 9,414,081 KZT. Seed-предков 3≥2; входящих 8≥3; исходящих 73≥2; ранг посредничества 98.0%≥90%. Seed: вход неполный."
8,100000008165763100,distributor,0.945615,"Вклад в приоритет: охват seed +19.7 п.п.; денежный объём +19.0 п.п.; входящая значимость +18.9 п.п.. Seed-предков 6; объём max(вход,выход) 1,267,858 KZT. Получателей 17≥10; исходящих переводов 17≥10; выход 1,267,858 KZT."
9,100000006866783100,coordinator,0.945465,"Вклад в приоритет: денежный объём +19.8 п.п.; посредничество +19.7 п.п.; входящая значимость +18.8 п.п.. Seed-предков 3; объём max(вход,выход) 3,948,037 KZT. Seed-предков 3≥2; входящих 13≥3; исходящих 67≥2; ранг посредничества 98.6%≥90%. Seed: вход неполный."
10,100000004156082100,coordinator,0.944436,"Вклад в приоритет: денежный объём +19.6 п.п.; входящая значимость +18.8 п.п.; охват seed +18.5 п.п.. Seed-предков 4; объём max(вход,выход) 2,319,556 KZT. Seed-предков 4≥2; входящих 5≥3; исходящих 26≥2; ранг посредничества 90.3%≥90%."
11,100000008477350100,coordinator,0.94251,"Вклад в приоритет: денежный объём +19.8 п.п.; посредничество +19.3 п.п.; входящая значимость +19.0 п.п.. Seed-предков 3; объём max(вход,выход) 3,374,866 KZT. Seed-предков 3≥2; входящих 11≥3; исходящих 39≥2; ранг посредничества 96.3%≥90%."
12,100000002957787100,coordinator,0.942303,"Вклад в приоритет: посредничество +19.4 п.п.; денежный объём +19.0 п.п.; охват seed +18.5 п.п.. Seed-предков 4; объём max(вход,выход) 1,276,154 KZT. Seed-предков 4≥2; входящих 4≥3; исходящих 34≥2; ранг посредничества 97.2%≥90%."
13,100000007442518100,peripheral,0.925521,"Вклад в приоритет: денежный объём +19.9 п.п.; охват seed +18.5 п.п.; входящая значимость +17.9 п.п.. Seed-предков 4; объём max(вход,выход) 4,419,999 KZT. Порогов конкретных ролей не достиг: плательщиков 5, получателей 9, выход/вход 867%."
14,100000001857829100,coordinator,0.919226,"Вклад в приоритет: денежный объём +19.6 п.п.; посредничество +18.9 п.п.; входящая значимость +17.8 п.п.. Seed-предков 3; объём max(вход,выход) 2,390,993 KZT. Seed-предков 3≥2; входящих 6≥3; исходящих 16≥2; ранг посредничества 94.3%≥90%."
15,100000005074393100,peripheral,0.916311,"Вклад в приоритет: охват seed +19.7 п.п.; входящая значимость +19.1 п.п.; денежный объём +18.1 п.п.. Seed-предков 6; объём max(вход,выход) 685,500 KZT. Порогов конкретных ролей не достиг: плательщиков 4, получателей 6, выход/вход 122%."
16,100000008489922100,coordinator,0.910895,"Вклад в приоритет: денежный объём +19.8 п.п.; посредничество +18.3 п.п.; входящая значимость +17.5 п.п.. Seed-предков 3; объём max(вход,выход) 3,789,900 KZT. Seed-предков 3≥2; входящих 3≥3; исходящих 36≥2; ранг посредничества 91.3%≥90%."
17,100000005933757100,coordinator,0.901238,"Вклад в приоритет: денежный объём +19.7 п.п.; посредничество +19.1 п.п.; входящая значимость +19.0 п.п.. Seed-предков 2; объём max(вход,выход) 3,002,628 KZT. Seed-предков 2≥2; входящих 4≥3; исходящих 34≥2; ранг посредничества 95.7%≥90%."
18,100000003115284100,peripheral,0.893024,"Вклад в приоритет: охват seed +20.0 п.п.; денежный объём +19.5 п.п.; входящая значимость +19.5 п.п.. Seed-предков 9; объём max(вход,выход) 2,160,500 KZT. Порогов конкретных ролей не достиг: плательщиков 8, получателей 2, выход/вход 24%."
19,100000005910114100,coordinator,0.892616,"Вклад в приоритет: посредничество +19.7 п.п.; денежный объём +19.2 п.п.; охват seed +18.5 п.п.. Seed-предков 4; объём max(вход,выход) 1,469,993 KZT. Seed-предков 4≥2; входящих 3≥3; исходящих 19≥2; ранг посредничества 98.4%≥90%."
20,100000003701161100,peripheral,0.888556,"Вклад в приоритет: входящая значимость +19.5 п.п.; денежный объём +19.3 п.п.; посредничество +17.0 п.п.. Seed-предков 3; объём max(вход,выход) 1,527,103 KZT. Порогов конкретных ролей не достиг: плательщиков 4, получателей 3, выход/вход 23%."
21,100000008547948100,coordinator,0.888157,"Вклад в приоритет: денежный объём +19.9 п.п.; посредничество +18.5 п.п.; охват seed +16.3 п.п.. Seed-предков 3; объём max(вход,выход) 5,185,600 KZT. Seed-предков 3≥2; входящих 6≥3; исходящих 26≥2; ранг посредничества 92.5%≥90%."
22,100000002741024100,peripheral,0.885599,"Вклад в приоритет: входящая значимость +19.9 п.п.; денежный объём +18.5 п.п.; охват seed +16.3 п.п.. Seed-предков 3; объём max(вход,выход) 817,981 KZT. Порогов конкретных ролей не достиг: плательщиков 5, получателей 6, выход/вход 53%."
23,100000005704413100,coordinator,0.885472,"Вклад в приоритет: посредничество +20.0 п.п.; денежный объём +19.1 п.п.; входящая значимость +17.6 п.п.. Seed-предков 2; объём max(вход,выход) 1,363,593 KZT. Seed-предков 2≥2; входящих 3≥3; исходящих 32≥2; ранг посредничества 99.8%≥90%."
24,100000001530983100,distributor,0.881255,"Вклад в приоритет: охват seed +19.4 п.п.; денежный объём +19.4 п.п.; посредничество +17.8 п.п.. Seed-предков 5; объём max(вход,выход) 1,829,538 KZT. Получателей 11≥10; исходящих переводов 17≥10; выход 1,829,538 KZT."
25,100000003635170100,transit,0.88096,"Вклад в приоритет: охват seed +19.4 п.п.; входящая значимость +19.2 п.п.; посредничество +16.7 п.п.. Seed-предков 5; объём max(вход,выход) 268,500 KZT. Объёмный транзит: выход/вход 94% в [80%; 120%]; плательщиков 3, получателей 4. Не seed/граница."
26,100000003242289100,coordinator,0.878211,"Вклад в приоритет: денежный объём +19.6 п.п.; посредничество +18.1 п.п.; охват seed +16.3 п.п.. Seed-предков 3; объём max(вход,выход) 2,377,741 KZT. Seed-предков 3≥2; входящих 3≥3; исходящих 23≥2; ранг посредничества 90.7%≥90%."
27,100000007908818100,peripheral,0.874868,"Вклад в приоритет: охват seed +19.9 п.п.; денежный объём +18.3 п.п.; посредничество +15.9 п.п.. Seed-предков 8; объём max(вход,выход) 727,475 KZT. Порогов конкретных ролей не достиг: плательщиков 4, получателей 6, выход/вход 42%."
28,100000008637537100,peripheral,0.872975,"Вклад в приоритет: денежный объём +19.6 п.п.; входящая значимость +18.6 п.п.; охват seed +18.5 п.п.. Seed-предков 4; объём max(вход,выход) 2,351,495 KZT. Недостаточно наблюдений для роли; плательщиков 3, получателей 3. Seed: вход неполный."
29,100000008710791100,distributor,0.872766,"Вклад в приоритет: денежный объём +19.9 п.п.; охват seed +19.4 п.п.; посредничество +17.2 п.п.. Seed-предков 5; объём max(вход,выход) 5,521,511 KZT. Получателей 23≥10; исходящих переводов 25≥10; выход 5,521,511 KZT."
30,100000008686313100,consolidator,0.871172,"Вклад в приоритет: денежный объём +19.4 п.п.; посредничество +17.7 п.п.; охват seed +16.3 п.п.. Seed-предков 3; объём max(вход,выход) 1,912,716 KZT. Плательщиков 6≥3; вход 1,912,716 KZT; выход/вход 17%≤20%. Не seed/граница."
31,100000004403675100,coordinator,0.870943,"Вклад в приоритет: посредничество +18.9 п.п.; входящая значимость +18.4 п.п.; охват seed +16.3 п.п.. Seed-предков 3; объём max(вход,выход) 264,699 KZT. Seed-предков 3≥2; входящих 4≥3; исходящих 5≥2; ранг посредничества 94.7%≥90%."
32,100000001899164100,peripheral,0.867774,"Вклад в приоритет: охват seed +19.4 п.п.; входящая значимость +19.2 п.п.; денежный объём +15.9 п.п.. Seed-предков 5; объём max(вход,выход) 291,675 KZT. Порогов конкретных ролей не достиг: плательщиков 4, получателей 3, выход/вход 26%."
33,100000005782781100,distributor,0.867455,"Вклад в приоритет: денежный объём +19.0 п.п.; посредничество +17.1 п.п.; охват seed +16.3 п.п.. Seed-предков 3; объём max(вход,выход) 1,263,597 KZT. Получателей 10≥10; исходящих переводов 10≥10; выход 1,263,597 KZT."
34,100000008743913100,distributor,0.865274,"Вклад в приоритет: охват seed +19.7 п.п.; денежный объём +19.4 п.п.; посредничество +17.2 п.п.. Seed-предков 6; объём max(вход,выход) 1,850,600 KZT. Получателей 13≥10; исходящих переводов 13≥10; выход 1,850,600 KZT."
35,100000005339662100,peripheral,0.860628,"Вклад в приоритет: входящая значимость +19.5 п.п.; посредничество +16.7 п.п.; охват seed +16.3 п.п.. Seed-предков 3; объём max(вход,выход) 295,160 KZT. Порогов конкретных ролей не достиг: плательщиков 4, получателей 4, выход/вход 145%."
36,100000008547844100,coordinator,0.858713,"Вклад в приоритет: денежный объём +19.5 п.п.; посредничество +18.9 п.п.; охват seed +16.3 п.п.. Seed-предков 3; объём max(вход,выход) 2,042,199 KZT. Seed-предков 3≥2; входящих 3≥3; исходящих 19≥2; ранг посредничества 94.5%≥90%."
37,100000004400305100,coordinator,0.85689,"Вклад в приоритет: денежный объём +19.9 п.п.; посредничество +19.5 п.п.; входящая значимость +13.6 п.п.. Seed-предков 2; объём max(вход,выход) 5,830,181 KZT. Seed-предков 2≥2; входящих 7≥3; исходящих 82≥2; ранг посредничества 97.6%≥90%."
38,100000008461532100,peripheral,0.855316,"Вклад в приоритет: денежный объём +19.7 п.п.; входящая значимость +18.4 п.п.; посредничество +17.3 п.п.. Seed-предков 2; объём max(вход,выход) 2,530,090 KZT. Порогов конкретных ролей не достиг: плательщиков 2, получателей 8, выход/вход 448%."
39,100000008512827100,distributor,0.851688,"Вклад в приоритет: денежный объём +19.5 п.п.; охват seed +19.4 п.п.; посредничество +16.1 п.п.. Seed-предков 5; объём max(вход,выход) 1,944,500 KZT. Получателей 10≥10; исходящих переводов 10≥10; выход 1,944,500 KZT."
40,100000001616816100,peripheral,0.851672,"Вклад в приоритет: входящая значимость +19.9 п.п.; охват seed +19.8 п.п.; посредничество +14.4 п.п.. Seed-предков 7; объём max(вход,выход) 181,326 KZT. Недостаточно наблюдений для роли; плательщиков 5, получателей 3. Seed: вход неполный."
41,100000002175422100,peripheral,0.84901,"Вклад в приоритет: денежный объём +19.3 п.п.; входящая значимость +18.7 п.п.; посредничество +16.3 п.п.. Seed-предков 2; объём max(вход,выход) 1,621,188 KZT. Порогов конкретных ролей не достиг: плательщиков 3, получателей 6, выход/вход 2367%."
42,100000008733194100,peripheral,0.843863,"Вклад в приоритет: охват seed +18.5 п.п.; посредничество +16.8 п.п.; денежный объём +15.4 п.п.. Seed-предков 4; объём max(вход,выход) 251,424 KZT. Порогов конкретных ролей не достиг: плательщиков 4, получателей 8, выход/вход 64%."
43,100000008730846100,peripheral,0.839743,"Вклад в приоритет: охват seed +18.5 п.п.; денежный объём +16.6 п.п.; входящая значимость +16.4 п.п.. Seed-предков 4; объём max(вход,выход) 363,370 KZT. Порогов конкретных ролей не достиг: плательщиков 7, получателей 3, выход/вход 234%."
44,100000002217161100,peripheral,0.83811,"Вклад в приоритет: входящая значимость +18.8 п.п.; денежный объём +18.7 п.п.; посредничество +16.2 п.п.. Seed-предков 2; объём max(вход,выход) 995,132 KZT. Порогов конкретных ролей не достиг: плательщиков 2, получателей 7, выход/вход 246%."
45,100000000661912100,coordinator,0.835451,"Вклад в приоритет: входящая значимость +19.6 п.п.; посредничество +18.8 п.п.; денежный объём +17.1 п.п.. Seed-предков 2; объём max(вход,выход) 430,700 KZT. Seed-предков 2≥2; входящих 5≥3; исходящих 2≥2; ранг посредничества 93.9%≥90%."
46,100000004351795100,coordinator,0.834818,"Вклад в приоритет: денежный объём +19.3 п.п.; посредничество +19.2 п.п.; охват seed +16.3 п.п.. Seed-предков 3; объём max(вход,выход) 1,715,161 KZT. Seed-предков 3≥2; входящих 3≥3; исходящих 14≥2; ранг посредничества 95.9%≥90%."
47,100000008258083100,peripheral,0.833125,"Вклад в приоритет: денежный объём +19.8 п.п.; входящая значимость +19.1 п.п.; охват seed +16.3 п.п.. Seed-предков 3; объём max(вход,выход) 3,149,500 KZT. Порогов конкретных ролей не достиг: плательщиков 2, получателей 2, выход/вход 65%."
48,100000004759121100,peripheral,0.83218,"Вклад в приоритет: входящая значимость +19.4 п.п.; денежный объём +18.2 п.п.; охват seed +16.3 п.п.. Seed-предков 3; объём max(вход,выход) 710,000 KZT. Порогов конкретных ролей не достиг: плательщиков 6, получателей 2, выход/вход 44%."
49,100000004159526100,peripheral,0.830244,"Вклад в приоритет: входящая значимость +18.7 п.п.; охват seed +16.3 п.п.; денежный объём +15.7 п.п.. Seed-предков 3; объём max(вход,выход) 275,037 KZT. Порогов конкретных ролей не достиг: плательщиков 4, получателей 4, выход/вход 25%."
50,100000006579678100,peripheral,0.827571,"Вклад в приоритет: денежный объём +19.3 п.п.; входящая значимость +17.8 п.п.; посредничество +15.8 п.п.. Seed-предков 2; объём max(вход,выход) 1,668,800 KZT. Порогов конкретных ролей не достиг: плательщиков 2, получателей 6, выход/вход 865%."
